date,stix,malpedia,secnews,cve
2015-10-24,190,0,0,0
2015-10-25,364,0,0,11
2015-10-26,266,3,8,24
2015-10-27,273,0,11,10
2015-10-28,317,1,5,26
2015-10-29,92,0,2,22
2015-10-30,82,0,5,16
2015-10-31,208,0,0,6
2015-11-01,231,0,0,0
2015-11-02,850,3,9,12
2015-11-03,1128,1,0,10
2015-11-04,709,3,10,13
2015-11-05,764,1,8,23
2015-11-06,526,1,4,21
2015-11-07,808,0,3,2
2015-11-08,529,0,0,19
2015-11-09,876,0,0,23
2015-11-10,521,1,0,14
2015-11-11,828,2,0,67
2015-11-12,520,0,2,9
2015-11-13,444,0,6,6
2015-11-14,654,0,0,8
2015-11-15,964,0,0,2
2015-11-16,507,2,4,13
2015-11-17,969,1,8,17
2015-11-18,641,0,14,17
2015-11-19,1020,1,9,15
2015-11-20,601,2,6,3
2015-11-21,796,0,0,9
2015-11-22,600,0,0,3
2015-11-23,835,1,4,3
2015-11-24,585,1,4,18
2015-11-25,604,1,2,24
2015-11-26,838,0,0,5
2015-11-27,587,1,1,2
2015-11-28,709,0,0,0
2015-11-29,523,0,0,0
2015-11-30,650,1,4,0
2015-12-01,508,2,5,2
2015-12-02,1097,1,2,19
2015-12-03,652,1,5,9
2015-12-04,946,2,3,0
2015-12-05,894,0,1,6
2015-12-06,423,0,0,32
2015-12-07,900,5,0,16
2015-12-08,827,3,12,22
2015-12-09,1103,0,8,58
2015-12-10,675,0,3,80
2015-12-11,836,1,0,72
2015-12-12,1056,0,1,5
2015-12-13,478,0,0,11
2015-12-14,756,0,2,12
2015-12-15,762,1,6,22
2015-12-16,592,3,0,38
2015-12-17,792,2,13,13
2015-12-18,789,1,7,5
2015-12-19,564,0,0,3
2015-12-20,609,0,0,0
2015-12-21,624,3,0,16
2015-12-22,434,2,0,1
2015-12-23,860,0,0,13
2015-12-24,736,0,3,10
2015-12-25,450,0,0,0
2015-12-26,605,2,0,2
2015-12-27,784,0,0,11
2015-12-28,881,0,1,30
2015-12-29,646,0,1,9
2015-12-30,810,2,0,16
2015-12-31,446,1,2,33
2016-01-01,596,2,0,12
2016-01-02,515,0,0,27
2016-01-03,492,0,0,16
2016-01-04,576,0,4,33
2016-01-05,604,0,2,10
2016-01-06,745,0,2,13
2016-01-07,795,0,15,0
